Date	Hour_string	UserId	Group	LearningObjective	Correct	Progress	Color
2015-03-02	08 - 09 uur	40285	Begrijpend Lezen	Diverse leerdoelen Begrijpend Lezen	1	2	rgba(255, 255, 0, 0.8)
2015-03-02	08 - 09 uur	40281	Begrijpend Lezen	Diverse leerdoelen Begrijpend Lezen	1	0	rgba(255, 255, 0, 0.8)
2015-03-02	08 - 09 uur	40285	Begrijpend Lezen	Diverse leerdoelen Begrijpend Lezen	1	6	rgba(255, 255, 0, 0.8)
2015-03-02	08 - 09 uur	40282	Begrijpend Lezen	Diverse leerdoelen Begrijpend Lezen	1	2	rgba(255, 255, 0, 0.8)
2015-03-02	08 - 09 uur	40282	Begrijpend Lezen	Diverse leerdoelen Begrijpend Lezen	1	0	rgba(255, 255, 0, 0.8)
2015-03-02	08 - 09 uur	40282	Begrijpend Lezen	Diverse leerdoelen Begrijpend Lezen	1	2	rgba(255, 255, 0, 0.8)
2015-03-02	08 - 09 uur	40281	Begrijpend Lezen	Diverse leerdoelen Begrijpend Lezen	1	2	rgba(255, 255, 0, 0.8)
2015-03-02	08 - 09 uur	40285	Begrijpend Lezen	Diverse leerdoelen Begrijpend Lezen	1	2	rgba(255, 255, 0, 0.8)
2015-03-02	08 - 09 uur	40281	Begrijpend Lezen	Diverse leerdoelen Begrijpend Lezen	1	0	rgba(255, 255, 0, 0.8)
2015-03-02	08 - 09 uur	40282	Begrijpend Lezen	Diverse leerdoelen Begrijpend Lezen	1	2	rgba(255, 255, 0, 0.8)
2015-03-02	08 - 09 uur	40282	Begrijpend Lezen	Diverse leerdoelen Begrijpend Lezen	1	0	rgba(255, 255, 0, 0.8)
2015-03-02	08 - 09 uur	40281	Begrijpend Lezen	Diverse leerdoelen Begrijpend Lezen	1	1	rgba(255, 255, 0, 0.8)
2015-03-02	08 - 09 uur	40281	Begrijpend Lezen	Diverse leerdoelen Begrijpend Lezen	1	2	rgba(255, 255, 0, 0.8)
